Subject,Platform Name,Primary URL,API Documentation URL,Category,Automation Scope,Quality Score,Error
DataRobot automated machine learning platform,DataRobot,https://www.datarobot.com/,https://docs.datarobot.com/en/docs/api/index.html,MLOps,"Machine Learning Operations, Data Science, Business Intelligence, Financial Services, Healthcare, Retail, Manufacturing, Government",92,
H2O.ai open-source AI and ML platform,H2O-3,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/welcome.html,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/rest-api-reference.html,ML Framework,"Financial Services, Healthcare, Insurance, Manufacturing, Marketing, Retail, Telecom, Predictive Analytics, Cyber Threat Detection, Customer Acquisition",92,
Hugging Face transformers and model hub,Hugging Face,https://huggingface.co/,https://huggingface.co/docs,ML Framework,"Natural Language Processing (NLP), Computer Vision, Audio Processing, Machine Learning Operations (MLOps), Data Science, Model Deployment",98,
Stability AI generative AI models,Stability AI,https://stability.ai/,https://platform.stability.ai/docs/api-reference,Content Generation,"Image Generation, Video Generation, Content Creation, Digital Art, Creative Workflows",95,
Cohere enterprise language AI platform,Cohere,https://cohere.com/,https://docs.cohere.com/,AI Models,"Enterprise AI, Workplace Productivity, Customer Service, Data Analysis, Search, Retrieval-Augmented Generation (RAG)",95,
AI21 Labs language model development,AI21 Labs,https://www.ai21.com/,https://docs.ai21.com/,AI Models,"Enterprise workflows, Text generation, Document summarization, Question answering",92,
Replicate machine learning model deployment,Replicate,https://replicate.com/,https://replicate.com/docs,MLOps,"Machine Learning Model Deployment, AI Application Development, Fine-tuning, Inference",95,
RunwayML creative AI tools and models,Runway,https://runwayml.com/,https://docs.dev.runwayml.com/api,Video AI,"Filmmaking, Advertising, VFX, Gaming, Content Creation",85,
Midjourney AI image generation platform,Midjourney,https://www.midjourney.com/,N/A,Content Generation,"Art, Design, Media, Content Creation",95,
DALL-E AI image creation by OpenAI,DALL-E (via OpenAI API),https://openai.com/dall-e/,https://platform.openai.com/docs/guides/image-generation,Content Generation,"Creative Arts, Marketing, Media, Software Development, Content Creation",98,
GitHub Copilot AI code completion,GitHub Copilot,https://github.com/features/copilot,https://docs.github.com/en/rest/copilot,Content Generation,"Software Development, Code Generation, Debugging, Documentation, Code Review",98,
Tabnine AI code assistant,Tabnine AI Code Assistant,https://www.tabnine.com/,https://docs.tabnine.com/main/administering-tabnine/private-installation/managing-your-team/reporting/usage-api,AI Models,"Software Development, Code Generation, Code Completion, Documentation, Testing",90,
Replit AI-powered development environment,Replit,https://replit.com/,N/A,No-Code/Low-Code,"Software Development, Web App Creation, Deployment, Debugging, Code Generation, Workflow Automation",95,
Cursor AI-first code editor,Cursor,https://cursor.com/,https://cursor.com/docs/api,Content Generation,"Software Development, Code Generation, Debugging, Code Refactoring",92,
LangChain framework for LLM applications,LangChain,https://www.langchain.com/,https://reference.langchain.com/python/,ML Framework,"AI application development, Agent engineering, Data analysis, Customer service, Content generation, Software development",95,
LlamaIndex data framework for LLM apps,LlamaIndex,https://www.llamaindex.ai/,https://developers.llamaindex.ai/cloud-api-reference/llama-platform/,ML Framework,"LLM Application Development, RAG, Enterprise Automation, Document Processing",95,
BabyAGI task-driven autonomous agent,BabyAGI,https://babyagi.org/,https://babyagi.org/#api-reference,Workflow Automation,"Task Management, Autonomous Agents, Software Development, Research",75,
AgentGPT autonomous AI agent platform,AgentGPT,https://agentgpt.reworkd.ai/,https://docs.reworkd.ai/api-reference/public/get-latest-reviews,Workflow Automation,"Autonomous AI agent deployment, web data scraping, task automation",85,
SuperAGI open-source autonomous agents,SuperAGI,https://superagi.com/,https://documenter.getpostman.com/view/28438662/2s9Xy6rqP5,Workflow Automation,"Sales, Marketing, Support, Customer Service, Business Operations",90,
Zapier workflow automation platform,Zapier,https://zapier.com/,https://docs.zapier.com/platform/home,Workflow Automation,"Marketing, Sales, Customer Support, IT, Operations, Finance, Human Resources",95,
Make (Integromat) visual automation platform,Make,https://www.make.com/en,https://developers.make.com/api-documentation,Workflow Automation,"Sales, Marketing, IT, Operations, Finance, Human Resources, Data Management",95,
n8n workflow automation tool,n8n,https://n8n.io/,https://docs.n8n.io/api/,Workflow Automation,"IT operations, Security operations, Lead automation, Customer Relationship Management, Data processing, Business process automation",92,
Temporal workflow orchestration platform,Temporal,https://temporal.io/,https://docs.temporal.io/,Workflow Automation,"Distributed Systems, Microservices, Business Process Automation, AI Pipelines, CI/CD, Order Fulfillment, Durable Ledgers, Human-in-the-Loop",95,
Airflow workflow management platform,Apache Airflow,https://airflow.apache.org/,https://airflow.apache.org/docs/apache-airflow/stable/stable-rest-api-ref.html,Workflow Automation,"Data Engineering, ETL/ELT, MLOps, Infrastructure Management, Business Operations, Financial Services, Retail and eCommerce, Healthcare, Manufacturing, Gaming",95,
Prefect modern workflow orchestration,Prefect,https://www.prefect.io/,https://docs.prefect.io/v3/api-ref/rest-api,Workflow Automation,"Data Pipelines, Machine Learning Workflows, ETL/ELT, IT Operations, Business Process Automation",95,
Retool internal tool builder with AI,Retool,https://retool.com/,https://docs.retool.com/api/,No-Code/Low-Code,"Internal Tools, Workflow Automation, Custom Business Applications, Data Management",95,
Bubble no-code platform with AI features,Bubble,https://bubble.io/,https://manual.bubble.io/core-resources/api,No-Code/Low-Code,"Web Application Development, Mobile Application Development, Business Process Automation, Data Integration",95,
Adalo mobile app builder with automation,Adalo,https://www.adalo.com/,https://help.adalo.com/integrations/the-adalo-api,No-Code/Low-Code,"Mobile App Development, Web App Development, Database Management, Workflow Automation, Notifications",90,
OutSystems low-code enterprise platform,OutSystems,https://www.outsystems.com/,https://success.outsystems.com/documentation/outsystems_developer_cloud/odc_rest_apis/,No-Code/Low-Code,"Enterprise Application Development, Workflow Automation, Digital Transformation",90,
Mendix low-code application development,Mendix,https://www.mendix.com/,https://docs.mendix.com/apidocs-mxsdk/apidocs/,No-Code/Low-Code,"Low-Code Application Development, Workflow Automation, Mobile App Development, Web App Development, Enterprise Automation, Manufacturing, Financial Services, Logistics, Public Sector",95,
Appian intelligent automation platform,Appian,https://appian.com/,https://docs.appian.com/suite/help/latest/APIs.html,Workflow Automation,"Financial Services, Healthcare, Government, Insurance, Life Sciences, Manufacturing",85,
Pega platform for workflow automation,Pega Platform,https://www.pega.com/,https://docs.pega.com/,Workflow Automation,"Financial Services, Insurance, Healthcare, Manufacturing, Government, Customer Service",92,
ServiceNow IT workflow automation,ServiceNow,https://www.servicenow.com/,https://developer.servicenow.com/dev.do#!/reference/api/tokyo/rest/c_RESTAPI,Workflow Automation,"IT Service Management, IT Operations Management, Customer Service Management, HR Service Delivery, Security Operations, Workflow Automation",95,
Monday.com work operating system,monday.com,https://monday.com/,https://developer.monday.com/api-reference/,Workflow Automation,"Project Management, Workflow Automation, Team Collaboration, CRM, IT, Development",92,
Airtable collaborative database platform,Airtable,https://www.airtable.com/,https://www.airtable.com/developers/web/api/introduction,No-Code/Low-Code,"Workflow Management, Project Management, CRM, Content Management, Business Operations, Manufacturing",92,
Notion AI workspace and knowledge base,Notion AI,https://www.notion.com/product/ai,https://developers.notion.com/,Workflow Automation,"Knowledge Management, Project Management, Content Creation, Data Analysis, Task Automation, Workflow Automation",95,
Coda AI-powered collaborative docs,Coda,https://coda.io/,https://coda.io/developers,No-Code/Low-Code,"Workflow Automation, Document Management, Collaboration, Data Management",92,
ClickUp productivity and automation platform,ClickUp,https://clickup.com/,https://developer.clickup.com/,Workflow Automation,"Project Management, Task Management, Workflow Automation, Productivity, Collaboration",92,
Asana work management with automation,Asana,https://asana.com/,https://developers.asana.com/reference/rest-api-reference,Workflow Automation,"Work Management, Project Management, Task Management, Workflow Automation, Team Collaboration",92,
TensorFlow machine learning framework,TensorFlow,https://www.tensorflow.org/,https://www.tensorflow.org/api_docs,ML Framework,"Machine Learning, Deep Learning, Computer Vision, Natural Language Processing, Time Series Analysis, Reinforcement Learning",98,
PyTorch deep learning framework,PyTorch,https://pytorch.org/,https://docs.pytorch.org/,ML Framework,"Deep Learning, Machine Learning, AI Research, Neural Networks, Computer Vision, Natural Language Processing",98,
JAX high-performance ML research,JAX,https://docs.jax.dev/,https://docs.jax.dev/en/latest/jax.html,ML Framework,"High-Performance Computing, Machine Learning Research, Numerical Simulation, Scientific Computing",98,
Keras deep learning API,Keras,https://keras.io/,https://keras.io/api/,ML Framework,"Deep Learning, Machine Learning, Scientific Computing, Data Science",98,
scikit-learn machine learning library,scikit-learn,https://scikit-learn.org/,https://scikit-learn.org/stable/api/index.html,ML Framework,"Predictive Data Analysis, Machine Learning, Data Science, Statistical Modeling",98,
XGBoost gradient boosting library,XGBoost,https://xgboost.ai/,https://xgboost.readthedocs.io/,ML Framework,"Data Science, Predictive Modeling, Machine Learning",98,
LightGBM gradient boosting framework,LightGBM,https://lightgbm.readthedocs.io/,https://lightgbm.readthedocs.io/en/latest/Python-API.html,ML Framework,"Finance, Healthcare, E-commerce, Customer Behavior Prediction, Ranking, Classification, Regression",95,
CatBoost gradient boosting library,CatBoost,https://catboost.ai/,https://catboost.ai/docs/en/concepts/python-reference_catboostclassifier,ML Framework,"Machine Learning, Data Science, Predictive Modeling, Search, Recommendation Systems, Self-Driving Cars, Weather Prediction",95,
FastAI deep learning library,fastai,https://docs.fast.ai/,N/A,ML Framework,"Deep Learning, Machine Learning, Computer Vision, Natural Language Processing, Tabular Data, Collaborative Filtering",88,
spaCy natural language processing,spaCy,https://spacy.io/,https://spacy.io/api,NLP,"Text Processing, Information Extraction, Text Classification, Named Entity Recognition, Data Science",95,
NLTK natural language toolkit,Natural Language Toolkit (NLTK),https://www.nltk.org/,https://www.nltk.org/api/nltk.html,NLP,"Natural Language Processing, Text Analysis, Computational Linguistics, Education, Research",95,
Gensim topic modeling library,Gensim,https://radimrehurek.com/gensim/,https://radimrehurek.com/gensim/apiref.html,ML Framework,"Natural Language Processing, Topic Modeling, Document Indexing, Information Retrieval",85,
OpenCV computer vision library,OpenCV,https://opencv.org/,https://docs.opencv.org/4.x/,Computer Vision,"Computer Vision, Image Processing, Machine Learning, Robotics, Autonomous Vehicles",98,
YOLO real-time object detection,Ultralytics YOLO,https://www.ultralytics.com/,https://docs.ultralytics.com/hub/inference-api/,Computer Vision,"Real-time object detection, image segmentation, pose estimation, object tracking, classification, vision AI deployment",98,
Detectron2 object detection platform,Detectron2,https://github.com/facebookresearch/detectron2,N/A,ML Framework,"Object Detection, Instance Segmentation, Computer Vision Research",95,
MMDetection object detection toolbox,MMDetection,https://github.com/open-mmlab/mmdetection,https://mmdetection.readthedocs.io/en/latest/api.html,ML Framework,"Computer Vision, Object Detection, Instance Segmentation, Panoptic Segmentation",95,
Segment Anything Model by Meta,Segment Anything Model 3 (SAM 3),https://github.com/facebookresearch/sam3,N/A,Computer Vision,"Image Segmentation, Computer Vision, Zero-shot Object Detection",95,
Whisper speech recognition by OpenAI,OpenAI Whisper,https://platform.openai.com/docs/guides/speech-to-text,https://platform.openai.com/docs/guides/speech-to-text,Voice AI,"Transcription, Translation, Content Creation, Accessibility, Media Processing",95,
Bark text-to-audio generation,Bark (Suno AI),https://github.com/suno-ai/bark,https://replicate.com/suno-ai/bark/api,Voice AI,"Content Generation, Media Production, Accessibility",95,
ElevenLabs voice AI platform,ElevenLabs,https://elevenlabs.io/,https://elevenlabs.io/docs/api-reference/introduction,Voice AI,"Content Creation, Conversational AI, Accessibility, Gaming, Publishing, Healthcare, LLM Integration, Workflow Automation",95,
Synthesia AI video generation platform,Synthesia,https://www.synthesia.io/,https://docs.synthesia.io/reference/introduction,Video AI,"Training, Marketing, Internal Communications, E-learning, Corporate Video Production",95,
D-ID AI video creation platform,D-ID,https://www.d-id.com/,https://docs.d-id.com/reference/get-started,Video AI,"Video Content Creation, Marketing, Customer Service, Enterprise Automation",90,
Descript AI-powered video editing,Descript,https://www.descript.com/,https://docs.descriptapi.com/,Video AI,"Video Editing, Podcasting, Content Creation, Marketing, Sales, Education",95,
Jasper AI content creation platform,Jasper,https://www.jasper.ai/,https://developers.jasper.ai/docs/getting-started-1,Content Generation,"Marketing, Content Creation, Copywriting, SEO, Social Media",92,
Copy.ai marketing copy generation,Copy.ai,https://www.copy.ai/,https://docs.copy.ai/,Content Generation,"Marketing, Sales, Content Creation, Workflow Automation, Lead Generation",95,
Writesonic AI writing assistant,Writesonic,https://writesonic.com/,https://writesonic.com/api,Content Generation,"Content creation, SEO, marketing, and sales functions",92,
Grammarly AI writing enhancement,Grammarly,https://www.grammarly.com/,https://developer.grammarly.com/,Content Generation,"Writing, Communication, Content Creation, Editing, Proofreading",95,
Otter.ai AI meeting transcription,Otter.ai,https://otter.ai/,https://developer-guides.tryotter.com/api-reference/,Voice AI,"Meeting Transcription, Workflow Automation, Customer Service, Sales, Marketing, Education",95,
Fireflies.ai conversation intelligence,Fireflies.ai,https://fireflies.ai/,https://docs.fireflies.ai/,Workflow Automation,"Sales, Customer Service, Recruiting, Marketing, Project Management, Workflow Automation",92,
Gong.io revenue intelligence platform,Gong,https://www.gong.io/,https://gong.app.gong.io/settings/api/documentation#overview,Customer Service AI,"Sales, Revenue Operations, Customer Success, Marketing",95,
Chorus.ai conversation analytics,ZoomInfo Chorus AI,https://www.zoominfo.com/products/chorus,https://api-docs.chorus.ai/,Customer Service AI,"Sales, Customer Service, Revenue Operations, Coaching, Deal Intelligence, Market Intelligence",85,
Drift conversational marketing AI,Drift,https://www.salesloft.com/platform/drift,https://devdocs.drift.com/docs/using-drift-apis,Customer Service AI,"Marketing, Sales, Lead Qualification, Customer Service",90,
Intercom customer service automation,Workato,https://www.workato.com/,https://docs.workato.com/workato-api.html,Workflow Automation,"Integration, Workflow Automation, IT Operations, Revenue Operations, Finance, HR, Customer Service",95,
Zendesk AI customer support,Zendesk,https://www.zendesk.com/service/ai/,https://developer.zendesk.com/api-reference/,Customer Service AI,"Customer Service, Support Automation, Workflow Automation",95,
Ada AI customer service automation,Ada,https://www.ada.cx/,https://docs.ada.cx/reference/introduction/overview,Customer Service AI,"Customer Service, Customer Experience, Financial Services, Gaming, Retail, Technology, Travel",92,
Forethought AI customer support,Forethought,https://forethought.ai/,N/A,Customer Service AI,"Customer Service, Ticket Resolution, Triage, Customer Analytics, Agent Assistance, SaaS, Ecommerce, Retail",95,
Kore.ai enterprise conversational AI,Kore.ai XO Platform,https://www.kore.ai/,https://developer.kore.ai/docs/bots/api-guide/api-list/,Customer Service AI,"Customer Service, IT Service Management, HR, Sales, Marketing, Workflow Automation",92,
Rasa open-source conversational AI,Rasa,https://rasa.com/,https://rasa.com/docs/openapi/http-api/,Customer Service AI,"Conversational AI, Customer Service, Dialogue Management, NLP",95,
Botpress chatbot development platform,Botpress,https://botpress.com/,https://botpress.com/docs/api-reference/introduction,Customer Service AI,"Customer Service, Sales, Marketing, Internal Operations, Conversational AI",92,
Dialogflow conversational AI by Google,Dialogflow,https://cloud.google.com/products/conversational-agents,https://docs.cloud.google.com/dialogflow/es/docs/reference,Customer Service AI,"Customer Service, Virtual Agents, Chatbots, Voicebots, Contact Center Automation, Conversational Interfaces",95,
Amazon Lex conversational interfaces,Amazon Lex,https://aws.amazon.com/lex/,https://docs.aws.amazon.com/lexv2/latest/APIReference/welcome.html,Customer Service AI,"Customer Service, Conversational AI, Contact Center Automation, Voice and Text Interaction",95,
Observe.AI contact center intelligence,Observe.AI,https://www.observe.ai/,https://api-docs.observe.ai/,Customer Service AI,"Customer Service, Contact Center Operations, Quality Assurance, Sales, Compliance",95,
Scale AI data labeling and ML ops,Scale AI,https://scale.com/,https://scale.com/docs/api-reference/introduction-to-scale-api,MLOps,"Data Labeling, Model Evaluation, Generative AI, Autonomous Vehicles",95,
Labelbox training data platform,Labelbox,https://labelbox.com/,https://docs.labelbox.com/reference/getting-started,MLOps,"Data Labeling, Model Evaluation, MLOps, Computer Vision, NLP",92,
Snorkel AI data-centric AI platform,Snorkel AI,https://snorkel.ai/,https://docs.snorkel.ai/docs/25.10/sdk/,MLOps,"Data-centric AI, Programmatic Labeling, Model Development, Enterprise AI Applications, NLP, Computer Vision",95,
Weights & Biases ML experiment tracking,Weights & Biases,https://wandb.ai/site/,https://docs.wandb.ai/models/ref/python/public-api/api,MLOps,"Machine Learning Experiment Tracking, Model Management, Deep Learning, MLOps",95,
MLflow open-source ML platform,MLflow,https://mlflow.org/,https://mlflow.org/docs/latest/api_reference/rest-api.html,MLOps,"Data Science, Machine Learning Engineering, AI Development, MLOps",95,
Kubeflow ML toolkit for Kubernetes,Kubeflow,https://www.kubeflow.org/,https://www.kubeflow.org/docs/components/pipelines/reference/api/kubeflow-pipeline-api-spec/,MLOps,"Machine Learning Workflow Automation, MLOps, Data Science, AI Model Deployment",95,
Ray distributed computing framework,Ray,https://www.ray.io/,https://docs.ray.io/en/latest/ray-core/api/index.html,ML Framework,"Distributed Computing, Machine Learning, AI Workloads, Data Processing, Model Serving",95,
Anyscale scalable AI infrastructure,Anyscale,https://www.anyscale.com/,https://docs.anyscale.com/reference,MLOps,"AI/ML Workloads, Distributed Computing, MLOps, Data Processing, Generative AI",95,
